New Delhi,Chanakyapuri,28.5946775,77.1885212
New Delhi,Delhi Cantonment,28.56069055,77.1607907316857
New Delhi,Vasant Vihar,28.56069055,77.1607907316857
New Delhi,Connaught Place,28.6313827,77.2197924
North Delhi,Model Town,28.7027391,77.1940059
North Delhi,Narela,28.7959955,77.1360706
North Delhi,Alipur,28.7959955,77.1360706
North West Delhi,Rohini,28.7162092,77.1170743
North West Delhi,Kanjhawala,28.4772236,77.0832762
North West Delhi,Saraswati Vihar,28.4772236,77.0832762
West Delhi,Patel Nagar,28.6598088,77.156957
West Delhi,Punjabi Bagh,28.6421518,77.1160603776926
West Delhi,Rajouri Garden,28.6421518,77.1160603776926
South West Delhi,Dwarka,28.6149318,77.0227861
South West Delhi,Najafgarh,28.527295,77.0823049
South West Delhi,Kapashera,28.527295,77.0823049
South Delhi,Saket,28.5244107,77.2137253
South Delhi,Hauz Khas,28.5218262,77.1783232
South Delhi,Mehrauli,28.5218262,77.1783232
South East Delhi,Defence Colony,28.5717909,77.2320102
South East Delhi,Kalkaji,28.5334785,77.2935232
South East Delhi,Sarita Vihar,28.5334785,77.2935232
Central Delhi,Kotwali,28.6585978,77.2310844
Central Delhi,Civil Lines,28.6529982,77.1890227
Central Delhi,Karol Bagh,28.6529982,77.1890227
Central Delhi,Daryaganj,28.64609,77.243048
North East Delhi,Seelampur,28.6706535,77.264356
North East Delhi,Yamuna Vihar,28.7311406,77.2747898
North East Delhi,Karawal Nagar,28.7311406,77.2747898
North East Delhi,Nand Nagri,28.6944581,77.3161438158589
Shahdara,Shahdara,28.6773038,77.2903467
Shahdara,Seemapuri,28.6691641,77.312266954216
Shahdara,Vivek Vihar,28.6691641,77.312266954216
East Delhi,Gandhi Nagar,28.65572225,77.268813153414
East Delhi,Preet Vihar,28.6133497,77.2955378
East Delhi,Mayur Vihar,28.6133497,77.2955378
