Venue Id,Reviews,User Id,Likes
1,"Augustine serves some of the citys most exciting steaks, from a funky porterhouse rubbed in sweet-salty Montreal seasoning, to a strip crusted in a bevy of peppercorns.",59b834cd31fd1414ec894722,239
2,"Love this Japanese bakery/deli! Healthy, fresh, unique selection of sandwiches, salads & of course, pastries. Sitting area in back can seat 25+, u can view the cook staff at work thru huge window.",5672d310498ea39aa734eda1,664
3,"Good place for a filling meal thats a great value. Recommend the chicken schwarma, Spanish eggplant and roasted vegetables in a bowl. Dont bother with the carbs. Try chimicurro sauce!",55a00239498edaf25acee41b,88
4,"Split one of their stellar Italian sandwiches and enjoy it in City Hall park for the power summer lunch with a friend. Try the namesake Pisillo with porchetta, prosciutto & buffala mozzarella.",575e32c7498e82a8d80ba155,290
5,"The $14 special is unbelievable! And the food is spectacular! I tried the soup of the day with fish caravari and naan. Ive never tried Indian food and let me tell you, it wont be my last.",57b7ae28498e30566cd5242d,53
6,The new taco joint in town (or in TriBeCa area anyway). Office lunches are gonna make this place millions.  Its really good.  And great old school Americana counter style.  See you tomorrow!,5d69aed75ee37400068d9129,77
7,"""From the savvy sustainable wines to the thoughtful service and the impeccable tweaked versions of French standards, Racines NY pays homage to tradition with a keen eye toward evolution.""",5548d5d8498ead8aff9bc67e,120
8,Joes cheese slice is my NYC go-to. Their Sicilian square is no joke too,5cbf3a05e17910002cba2f02,75
9,Delicious seasonal dishes + inventive updates on classics like Oysters Rockefeller and Baked Alaska. Cocktails are well-balanced and service is fantastic. (Photo: chestnut agnolotti w black truffle),5814c63438fa102a3620e642,120
10,"Disappointed with their guacamole. $2.30 for something that doesnt seem fresh. Ugh. Gross. Also, they need to fix that front door, why is it so heavy and why is the button to open it doesnt work?!",5841c21c5da8f465d2c4c6b2,127
11,"I love Cuban Cuisine and Sophies has the best food. Today I got my usual Pernil with rice, black beans, and sweet plantains. Also, had to get the Salsa Verde which green sauce, spicy but delicious.",59c00a271ffed76478c4b8ad,112
12,AMAZING! One of the best restaurants Ive been to in Fidi. I had the special which was a fettuccini with mushrooms and truffle sauce and was TDF. Highly recommend this place.,57096323498e8723f668d4fe,100
13,"The staff, the decor and food. Its a little taste of Chicago in NYC. I almost wish it was a full blown Chicago bar with the menu as the grub. Great place and Hank is a stand up guy.",5bbe8693f1fdaf002bf3fe3a,54
14,"Delicious appetizers and pizzas that are good for sharing. Good ambiance for some nice conversations. Recommend: rice balls, carne pizza, and meatballs!",585dfdebba8837582b6a026e,72
15,"One of the loveliest of all. Featuring a picturesque view of the iconic Fulton Center and busy streets while you eat. Nice decor, and friendly staff that will ask if they can clear your trays.",578c5114498e0368a716662c,506
16,Negocio familiar pequeñito y acogedor con gran variedad de deliciosa repostería italiana.,59b1f66c65211f520fafc287,12
17,Live jazz music on Saturday nights with dancing and performances. Cocktail program is on par with the best speakeasies in New York with an emphasis on mezcal.,592835c716fa042347d92948,68
18,If you like sandwiches made with fresh ingredients this is the place to go... And they take care of you in no more than 10 minutes,5428e3fe498e443c95f57b79,50
19,"The falafel trio platter is great for dinner. Get to try the classic green falafel, the roasted pepper falafel and the spinach & mushroom falafel. Served with hummus, pita and great sides.",57202043cd1010fdea013c7f,403
20,One of my favorite lunch spots in the heart of downtown Manhattan!,5b33f72be17910002c1a68f2,66
21,"Falafel is amazing and all home made in house! Chicken shawarma sandwich, hummus and Turkish salad all good too. And try the fresh mint tea if they have it!",533b2b40498e513bed1746a5,24
22,Great fried chicken grilled cheese. Cant wait til this location starts serving breakfast. The Melt Shop wrap is one of the best egg preps in NYC!,53acbfde498e18ae6234f037,175
23,"Son, I live in Brooklyn. And I work in the Bronx. But I *have* been known to give up my good seat to duck out and get their iced mocha..... its that good.",5a14337e270ee74af9659810,52
24,"Restaurant week ($38): Rock shrimp tempura, assorted sushi, and tiramisu. All great, but you may want to dip under the fish on your sushi and remove some of the wasabi. It can be awfully harsh.",569ef609498e511e3aeaac05,270
25,Expect a relaxed vibe in the sunny space as you sit with your coconut and spelt pancakes topped with blueberry compote and vanilla butter.,57ffdee4498e7b039d607fd1,467
26,"Everything is good...and I hate that. This place is right below where I live, and now I find myself eating pasta weekly. Amazing fresh pasta, new specials every week, and its all made in-house.🇮🇹❤️",5db3a07d416e2a00065bbf6c,5
27,"Its a bit of a hidden gem in this area. Homemade-y tasting sandwiches, soups, and salads. I like the chicken dill sandwich lunch special.",541f7aec11d2e8f496b98b97,90
28,"Excellent food, fresh ingredients. Some of the best falafel Ive ever had. The platters are great to share for two people. Dont skip on the fries, they are surprisingly good",57c34523498e0e3002d3b6cc,164
29,Best tasting menu in the city. Love the open kitchen and counter seating. Each dish stood out in its own way. Wine pairings were spot on--opt for them!,575f69d6498ef4e5af53278e,183
30,"Locals rave about this sushi sanctuary where youll find every kind of roll under the sun–and if they dont have exactly what you want, you can design your own sushi à la carte.",53de6ebd498e0d374ae1600d,311
31,I stopped on my way to work just to have an empanada. They were so good I had to get a few more and a stuffed potato.,54e8cc93498ed613ed2029cb,84
32,"A fantastic, quick meal but dont skip on the froyo! Its extremely satisfying, and is much cheaper (incl. toppings) and tastes more natural/better than its chain competitors.",53ec123a498eaffff060bd80,447
33,No better place to grab bagels (garlic and herb cream cheese!) and jam to your favorite middle school hits.,5e52bc2283d3740006c51a6b,2
34,"They used to have incredible, crispy hash browns that Id have dreams about, but recently changed them to seasoned potato wedges (shown in photo)",5b3e8b01d4cc98002c15e548,60
35,"Lunch options include mushroom calzones, a sausage and mushroom margherita pizza, and white pizzas topped with prosciutto, eggplant, and grape tomatoes.",59567e2d1b0ea54f04ce5fd4,68
36,Japanese chain specializing in curry; get the pork cutlet (katsu) and go crazy with all the topping options.,5140dc7ee4b006b2c38027d3,185
37,I go here for lunch quite often I work in bmcc fiterman hall and I love the salmon its so delicious and tasty,56a54688498eb2a79f0e81f7,36
38,"Charming Aussie cafe. Try the hanging bacon jerky (crispy yet chewy & coated with maple) and any of their brunch options, like the pulled pork eggs benny",590517c495d986079e09f08b,326
